[2026-06-13 23:43:54.314] Client: 收到 ACK | Seq=9 | RTT=91.46ms | 确认报文: StudentID=20788 | MsgType=3 | SeqNum=0 | AckNum=9 | DataLen=0 | Flags=ACK
[2026-06-13 23:43:54.318] Client: 发送数据包 | Seq=14 | StudentID=20788 | MsgType=2 | SeqNum=14 | AckNum=0 | DataLen=42 | Flags=0 | D*42
[2026-06-13 23:43:54.361] Client: 收到 ACK | Seq=10 | RTT=124.12ms | 确认报文: StudentID=20788 | MsgType=3 | SeqNum=0 | AckNum=10 | DataLen=0 | Flags=ACK
[2026-06-13 23:43:54.364] Client: 发送数据包 | Seq=15 | StudentID=20788 | MsgType=2 | SeqNum=15 | AckNum=0 | DataLen=50 | Flags=0 | D*50
[2026-06-13 23:43:54.391] Client: 收到 ACK | Seq=11 | RTT=119.77ms | 确认报文: StudentID=20788 | MsgType=3 | SeqNum=0 | AckNum=11 | DataLen=0 | Flags=ACK
[2026-06-13 23:43:54.395] Client: 发送数据包 | Seq=16 | StudentID=20788 | MsgType=2 | SeqNum=16 | AckNum=0 | DataLen=68 | Flags=0 | D*68
[2026-06-13 23:43:54.401] Client: 收到 ACK | Seq=12 | RTT=109.2ms | 确认报文: StudentID=20788 | MsgType=3 | SeqNum=0 | AckNum=12 | DataLen=0 | Flags=ACK
[2026-06-13 23:43:54.402] Client: 发送数据包 | Seq=17 | StudentID=20788 | MsgType=2 | SeqNum=17 | AckNum=0 | DataLen=76 | Flags=0 | D*76
[2026-06-13 23:43:54.421] Client: 收到 ACK | Seq=13 | RTT=118.66ms | 确认报文: StudentID=20788 | MsgType=3 | SeqNum=0 | AckNum=13 | DataLen=0 | Flags=ACK
[2026-06-13 23:43:54.422] Client: 发送数据包 | Seq=18 | StudentID=20788 | MsgType=2 | SeqNum=18 | AckNum=0 | DataLen=68 | Flags=0 | D*68
[2026-06-13 23:43:54.735] Client: 超时重传 | base=14 | next_seq=19
[2026-06-13 23:43:54.735] Client: 重传 | Seq=14 | StudentID=20788 | MsgType=2 | SeqNum=14 | AckNum=0 | DataLen=42 | Flags=0 | D*42
[2026-06-13 23:43:54.736] Client: 重传 | Seq=15 | StudentID=20788 | MsgType=2 | SeqNum=15 | AckNum=0 | DataLen=50 | Flags=0 | D*50
[2026-06-13 23:43:54.736] Client: 重传 | Seq=16 | StudentID=20788 | MsgType=2 | SeqNum=16 | AckNum=0 | DataLen=68 | Flags=0 | D*68
[2026-06-13 23:43:54.736] Client: 重传 | Seq=17 | StudentID=20788 | MsgType=2 | SeqNum=17 | AckNum=0 | DataLen=76 | Flags=0 | D*76
[2026-06-13 23:43:54.737] Client: 重传 | Seq=18 | StudentID=20788 | MsgType=2 | SeqNum=18 | AckNum=0 | DataLen=68 | Flags=0 | D*68
[2026-06-13 23:43:54.746] Client: 收到 ACK | Seq=14 | RTT=9.82ms | 确认报文: StudentID=20788 | MsgType=3 | SeqNum=0 | AckNum=14 | DataLen=0 | Flags=ACK
[2026-06-13 23:43:54.746] Client: 发送数据包 | Seq=19 | StudentID=20788 | MsgType=2 | SeqNum=19 | AckNum=0 | DataLen=70 | Flags=0 | D*70
[2026-06-13 23:43:54.777] Client: 收到 ACK | Seq=15 | RTT=41.03ms | 确认报文: StudentID=20788 | MsgType=3 | SeqNum=0 | AckNum=15 | DataLen=0 | Flags=ACK
[2026-06-13 23:43:54.778] Client: 发送数据包 | Seq=20 | StudentID=20788 | MsgType=2 | SeqNum=20 | AckNum=0 | DataLen=40 | Flags=0 | D*40
[2026-06-13 23:43:54.795] Client: 收到 ACK | Seq=16 | RTT=58.3ms | 确认报文: StudentID=20788 | MsgType=3 | SeqNum=0 | AckNum=16 | DataLen=0 | Flags=ACK
[2026-06-13 23:43:54.796] Client: 发送数据包 | Seq=21 | StudentID=20788 | MsgType=2 | SeqNum=21 | AckNum=0 | DataLen=43 | Flags=0 | D*43
[2026-06-13 23:43:54.819] Client: 收到 ACK | Seq=17 | RTT=82.06ms | 确认报文: StudentID=20788 | MsgType=3 | SeqNum=0 | AckNum=17 | DataLen=0 | Flags=ACK
[2026-06-13 23:43:54.821] Client: 发送数据包 | Seq=22 | StudentID=20788 | MsgType=2 | SeqNum=22 | AckNum=0 | DataLen=42 | Flags=0 | D*42
[2026-06-13 23:43:54.845] Client: 收到 ACK | Seq=18 | RTT=106.7ms | 确认报文: StudentID=20788 | MsgType=3 | SeqNum=0 | AckNum=18 | DataLen=0 | Flags=ACK
